blood_frac_conc,brain_conc,brain_binding,plasma_protein_binding,kpuu,100nM_PgP,1uM_PgP,100nM_BCRP,1uM_PgP_qsar,100_nM_Mouse_BCRP_qsar,qsar_mrt
1.640826481,4.436732714,0.0018,0.180626051,0.403762054,0.713555556,0.45,9.763,0.708,2,5.68
3.333104324,1.220798542,0.2035,0.265679786,0.430818838,0.494,0.85,2.641,0.653,4.5,0.817
7.5711,0.066992,0.0572,3.2235,0.077770762,25.303,15.84294865,16.483,10.3,12,1.31
1.136435833,0.163595,0.0049,0.871946485,0.080896802,4.1398,3.464740165,56.434,4.46,53,2.59
0.264522222,0.188377778,0.001966667,0.262140901,0.534273306,2.159,1.143691277,14.162,0.903,8.5,2.64
1.701666667,2.333333333,0.0162,2.132,0.592649575,4.598,2.270368075,0.854,3.22,0.92,1.27
3.825671158,0.292695,0.025,1.604183755,0.231694696,6.888,3.017049294,59.742,5.06,27,2.46
0.319183333,0.1016,0.02525,0.99,0.119485705,4.48675,3.387902748,0.703666667,4.02,0.89,0.29
0.791374,0.1440105,0.0503,12.5794967,1,5.123,1.674,2.75,5.61,4.5,1.94
0.391733333,0.179416667,0.0187,2.6785,0.319758584,2.937,3.014073345,8.226,6.35,14,0.889
0.028846667,0.056066667,0.0292,10.54633515,0.076398341,2.613666667,3.568,1.411,4.35,1.2,1.96
0.2474,0.136366667,0.0183,3.819531831,0.264088497,3.371,1.95,3.497,8.26,3.4,2.02
0.7556415,0.26195,0.0448,9.450779169,0.105390895,2.61,1.726444769,15.64975,2.13,30,2.16
0.323222222,0.414,0.017033333,8.124333333,0.268541272,1.159,0.8545,1.3685,0.842,1.5,2.86
0.153290556,0.02274,0.0162,7.358801879,1,1.969,1.05,4.109,1.91,2.3,1.92
2.94555,0.64175,0.0311,3.027,0.223845025,4.9155,4.969895879,15.673,13,18,0.653
0.21645,0.8005,0.0186,6.351518,1,2.171,1.143691277,4.86,4.48,5.6,2.15
0.246488889,0.100822222,0.1286,17.43507954,0.301700447,2.323,1.325,0.817,1.19,0.9,1.56
0.0246,0.035019,0.20485,28.025,1,0.7975,0.524,1.19,0.73,1.8,1.4
0.026967,0.062748333,0.0639,1.545478426,1,4.40725,3.001333333,0.569,3.39,0.76,1.87
0.4056625,0.025325,0.1053,15.47713768,0.640003061,17.4235,19.69466667,0.831,21.4,0.73,1.2
1.76,0.275333333,0.0539,3.751084093,0.224790571,8.9505,6.551,1.03,4.57,0.88,3.76
0.0965,0.06582,0.0759,7.182343143,0.720785747,1.035,0.239,1.621,1.83,1.2,2.51
0.407333333,0.656,0.0038,2.464,0.248368653,1.288,1.299812415,21.845,3.21,7.6,2.37
0.274661111,0.229205556,0.00184,0.512363376,0.299686867,1.172,1.927691873,17.388,2.89,22,2.72
0.3476,0.23812,0.0694,8.159377944,0.582664457,0.68,0.4,0.53,1.06,0.43,1.88
2.1385,2.113333333,0.0324,7.18,0.445942962,7.146,4.3315,7.995,8.19,7.2,1.28
0.21418,0.101933333,0.0376,6.160991866,0.290452101,2.50925,1.9,4.244333333,1.99,3.1,1.76
0.99705,0.463,0.0183,0.026,0.216543279,4.002,9.424,9.594,13.8,3.5,1
0.223385,0.1065,0.0124,3.61,1,2.366,2.927472153,2.837,5.55,3.8,0.923
0.095455556,0.111755556,0.043733333,8.799856405,0.581841785,1.018,1.026,0.574,1.05,1,1.54
0.064233333,0.037726667,0.0087,2.988971907,0.170956412,3.044,2.083,6.012,7.78,5.4,3.64
0.71133,0.14815,0.0069,2.595477189,0.132299563,1.276,2.623,0.921,1.57,2.1,1.85
2.939666667,0.019663333,0.0083,2.183656016,0.499204239,4.18,2.198,1.075,3.89,1.1,1.53
0.73427652,0.1065,0.0452,10.36820366,1,0.584,0.55,6.124,0.686,0.86,1.88
0.903046833,0.207214922,0.0112,2.524868094,0.13163406,1.497,1.294666667,9.583,1.44,12,0.657
0.0459,0.120711111,0.00724,1.89739254,1,1.294666667,0.849,4.6335,2.76,4,2.15
